Date,Task,Time Started,Time Ended
cheekPuff,eyeLookIn_R,browOuterUp_R,jawRight,mouthClose,eyeLookOut_R,eyeWide_L,mouthUpperUp_L,mouthRight,mouthLowerDown_R,mouthStretch_R,noseSneer_L,mouthPucker,mouthFrown_R,browOuterUp_L,mouthSmile_R,eyeBlink_R,mouthLowerDown_L,mouthRollLower,eyeLookUp_L,mouthShrugLower,jawForward,eyeLookUp_R,mouthPress_R,eyeWide_R,mouthDimple_R,mouthShrugUpper,eyeBlink_L,browDown_R,browDown_L,eyeSquint_L,mouthLeft,cheekSquint_L,mouthSmile_L,eyeLookDown_R,mouthStretch_L,mouthDimple_L,tongueOut,mouthFunnel,jawLeft,eyeLookOut_L,jawOpen,noseSneer_R,mouthUpperUp_R,mouthFrown_L,browInnerUp,eyeSquint_R,eyeLookIn_L,mouthPress_L,cheekSquint_R,eyeLookDown_L,mouthRollUpper
0.2296521,0.1261405,0,0.02423664,0.06475836,0,0.01085062,0.07255208,0,0.04878095,0.2243563,0.1527144,0.4961089,0.3199171,0,0,0.03875444,0.04969141,0.142145,0.185058,0.204247,0.07298885,0.1845167,0.0424114,0.01206142,0.01708849,0.1305762,0.03694933,0.3257648,0.3899828,0.3207214,0.2025654,0.0752425,0,0,0.2945691,0.02604021,0.0006445263,0.3644232,0,0.01266787,0.05307508,0.1331868,0.05797844,0.2577018,0.04336383,0.321116,0,0.05304255,0.0588129,0,0.05536789
0.03149792,0.04774282,0,0.01916964,0.05522098,0,0.3467414,0.07954843,0,0.1790222,0.2826785,0.1025891,0.3423856,0.238478,0,-0.006896842,-0.0003624031,0.1748388,0.02531375,0.3281032,0.08803241,0.05222899,0.3282436,0.01583692,0.3469148,0.01302655,0.2312705,-0.0002961266,0.2506971,0.2526755,0.230531,0.05655098,0.03520672,0.004763342,0,0.2613066,0.01281471,3.339333e-05,0.2317372,0.004610608,0,0.07359347,0.09726071,0.07533697,0.2161109,0.05376782,0.2307599,0.06784807,0.01600025,0.03638935,0,0.02888893
0.02945401,0.09830876,0,0.02081132,0.05212564,0,0.3710499,0.07893614,0,0.1839133,0.2896039,0.1025963,0.3429404,0.2423037,0,-0.00644424,-0.0003335688,0.1797378,0.02374704,0.3973941,0.08350058,0.05163287,0.3967168,0.01509207,0.3710794,0.01243033,0.2649044,-0.0002725747,0.247531,0.2493174,0.2571186,0.04711619,0.03471152,0.004389591,0,0.2671976,0.01224282,1.818687e-05,0.2180086,0.00424229,0,0.07436632,0.09719341,0.07472156,0.2194271,0.0549629,0.257282,0.01848062,0.01520408,0.0357902,0,0.02696693
0.02774015,0.1783704,0,0.02165671,0.04744477,0,0.3832251,0.07838655,0,0.1862696,0.2875334,0.1023138,0.3084315,0.2407154,0,-0.005982616,-0.0003070107,0.1824535,0.02202223,0.4293766,0.07523704,0.05005957,0.4271745,0.01435557,0.3831823,0.01188007,0.2591943,-0.0002508778,0.2462185,0.2478648,0.294221,0.04298257,0.03429584,0.004042906,0,0.2693187,0.01169581,1.507346e-05,0.2032013,0.003903738,0.06055766,0.07358483,0.09692135,0.07429517,0.2210074,0.05519314,0.2943594,0,0.01444882,0.03537277,0,0.02590902
0.02702,0.1985733,0,0.02169781,0.04583918,0,0.359432,0.07769153,0,0.1748259,0.2857973,0.1026062,0.2991918,0.2341721,0,-0.005533645,-0.0002825577,0.1765838,0.02116403,0.3735297,0.07232998,0.04875003,0.3712839,0.01379513,0.359369,0.01142469,0.2518837,-0.0002308983,0.2790834,0.2798502,0.3355559,0.03096356,0.0344104,0.003722395,0,0.2694181,0.01121866,1.324134e-05,0.19812,0.003592386,0.08143946,0.07375507,0.09762527,0.07394516,0.2219884,0.05485165,0.3358887,0,0.01388793,0.035632,0,0.02527071
0.02675182,0.1074654,0,0.02168268,0.04494995,0,0.2533829,0.07764333,0,0.1707124,0.2854036,0.1365013,0.3622321,0.2324345,0,-0.005107536,-0.0002600472,0.1734652,0.02061766,0.2703706,0.07204363,0.0463776,0.2697999,0.01336617,0.2533708,0.01098866,0.2669659,-0.0002125048,0.3765654,0.3770525,0.353779,0.02711496,0.03928732,0.003426646,0,0.2697752,0.0107584,2.360165e-05,0.1958029,0.003305966,0,0.0736085,0.1322538,0.07434609,0.2308221,0.05265822,0.3540499,0.01134082,0.01346194,0.04282204,0,0.02472299
0.02667611,0.04942736,0,0.02186609,0.04483287,0,0.1466801,0.077748,0,0.1652884,0.285069,0.1457385,0.3733611,0.2697865,0,-0.004708469,0.0001308856,0.1654765,0.0204774,0.1470089,0.08419926,0.04543075,0.1470693,0.01299808,0.1464394,0.01068332,0.2752058,0.0001712189,0.445145,0.4453031,0.3617457,0.02034141,0.04083302,0.00315405,0,0.2689113,0.01038419,6.114892e-05,0.2021705,0.003042434,0,0.07369581,0.1443525,0.07708236,0.3262246,0.04964488,0.3620054,0.06819493,0.01309592,0.0450761,0,0.02434342
0.0316658,0,0,0.02233709,0.0504556,0.009879274,0.0700365,0.07766607,0,0.1527881,0.2739151,0.1486543,0.3806517,0.2900957,0,-0.004337504,0.000366733,0.1528651,0.0252176,0.04940713,0.1067749,0.04526845,0.04955466,0.0128814,0.06984828,0.01058839,0.2780559,0.0004024086,0.4535331,0.4537441,0.3346047,0.01775235,0.04151782,0.002902954,0,0.2509781,0.0102062,0.000108177,0.2228765,0.002799937,0,0.07652929,0.1457081,0.07795172,0.351146,0.04847241,0.3347502,0.1267627,0.01299577,0.04603067,0,0.02463743
0.03917957,0.03654425,0,0.02819919,0.05337271,0,0.03893149,0.07751314,0.008081112,0.1446324,0.2582775,0.1424909,0.3990951,0.2750134,0,-0.003994121,0.0009275324,0.1447405,0.02801747,0,0.1234992,0.04488689,0,0.01302518,0.0385907,0.01063819,0.2863633,0.0009534669,0.427963,0.4280501,0.304456,0.01343886,0.04177918,0.00267175,0.004591058,0.2249174,0.01012777,0.0002656128,0.2286307,0.002576784,0,0.07915646,0.1390578,0.07852123,0.3148768,0.04790396,0.3044998,0.07973037,0.013212,0.04657042,0.004586764,0.02504325
0.0721984,0,0,0.02997846,0.05440153,0.06067477,0.01958897,0.07774143,0.01110544,0.1238279,0.2369506,0.1415114,0.4051881,0.1572301,0,-0.003677043,0.07545638,0.1219699,0.04494969,0,0.1739038,0.04464432,0,0.01509371,0.01934261,0.01207205,0.2718818,0.07544993,0.4234026,0.4234516,0.3023239,0.01089664,0.04416487,0.002458906,0.02194501,0.2158518,0.01057356,0.0005155311,0.2312912,0.002371424,0,0.08007496,0.1382048,0.07985271,0.2127052,0.04806573,0.3021496,0.1759318,0.01567419,0.04955992,0.02183358,0.02611616
