browOuterUp_R,eyeWide_R,mouthFrown_L,mouthPress_L,browInnerUp,browOuterUp_L,noseSneer_R,eyeLookOut_R,mouthDimple_L,eyeBlink_L,eyeLookUp_L,cheekSquint_R,mouthDimple_R,eyeLookUp_R,jawOpen,mouthShrugLower,mouthFrown_R,cheekPuff,mouthRollLower,mouthFunnel,eyeSquint_L,eyeLookDown_R,mouthStretch_R,mouthStretch_L,eyeLookIn_L,mouthLowerDown_R,browDown_L,mouthUpperUp_L,noseSneer_L,eyeWide_L,jawRight,mouthRollUpper,jawForward,mouthLeft,mouthPress_R,mouthSmile_L,tongueOut,mouthUpperUp_R,jawLeft,eyeLookIn_R,mouthSmile_R,browDown_R,mouthShrugUpper,cheekSquint_L,eyeBlink_R,mouthLowerDown_L,eyeLookDown_L,mouthClose,mouthPucker,mouthRight,eyeLookOut_L,eyeSquint_R
0.01992426,0,0.06086105,0.1736572,0.1445351,0.01930627,0.1041919,0,0.4772163,0.06684441,0,0.07951538,0.461208,0,0.03250445,0.3690261,0.05863497,0.1866123,0.3772918,0.1617166,0.2170685,0.2443699,0.1146389,0.118522,0.1150582,0.05457113,0.06873646,0.0747191,0.1129947,0,0.00705236,0.2020795,0.07422075,0.02952112,0.1680449,0,0.02494133,0.0722118,0,0.007070883,0,0.06672294,0.125191,0.08629141,0.06336607,0.05482761,0.2437776,0.03324548,0.1000225,0,0,0.2166743
8.554053e-05,0.04666508,0.0244759,0.06643724,0.03809937,0.0002327544,0.1158894,0,0.1717179,0.006948012,0,0.09066719,0.2126927,0,0.0105143,0.394905,0.02608873,0.09730556,0.09670127,0.1358313,0.2953447,0.08250946,0.07533162,0.06935243,0,0.03264107,0.3037944,0.05384951,0.1156984,0.04606247,0.02877134,0.05295523,0.02829034,0.005431429,0.0683561,0,0.0002603345,0.05587485,0,0.1304991,0.0001374821,0.3040116,0.0674386,0.07847382,0.00656659,0.0334046,0.08283556,0.01480902,0.1961109,0.04614981,0.007016698,0.2953118
7.869588e-05,0.02788028,0.02379964,0.06142137,0.03809809,0.00021418,0.1171026,0,0.1694475,0.0486335,0,0.09066191,0.1848928,0,0.009964759,0.3315679,0.02779199,0.08528935,0.08682917,0.1354849,0.2947003,0.08569408,0.07501984,0.06902641,0,0.03245095,0.3112685,0.05353217,0.1178458,0.02768629,0.02825256,0.05076106,0.02722052,0.004999598,0.06360947,0,0.0001118418,0.05562202,0,0.1366108,0.0001352314,0.311413,0.06928406,0.07877483,0.04455999,0.03329165,0.08608457,0.01415947,0.1757608,0.03313766,0.01348316,0.2946962
7.240959e-05,0.01816006,0.06828629,0.06002209,0.04068251,0.0001970978,0.1416159,0,0.1186948,0.1630155,0,0.1031605,0.1375901,0,0.009451249,0.3277677,0.04269222,0.08113566,0.08064274,0.1346148,0.317153,0.1089823,0.07909005,0.07233213,0,0.03220009,0.3148876,0.05307783,0.1367973,0.01811552,0.02790531,0.04620457,0.02446832,0.004601711,0.06228871,0,2.47197e-05,0.05528795,0,0.1365777,0.0001291142,0.3150072,0.1035127,0.08694524,0.1620147,0.03311111,0.1094949,0.01361989,0.217201,0.03024214,0.01227303,0.3171538
6.663118e-05,0.01275934,0.09701358,0.06135334,0.04350046,0.0001813833,0.1751664,0,0.1055892,0.3845265,0,0.1456889,0.1256562,0,0.009044136,0.3245815,0.0509625,0.07949479,0.07858859,0.1341565,0.3644612,0.1506755,0.103319,0.08891594,0,0.03224316,0.3482577,0.05301808,0.166322,0.0127814,0.0281231,0.04425519,0.02314942,0.004235281,0.06355833,0,1.055723e-05,0.05546804,0,0.140506,0.0001213188,0.348696,0.1273916,0.1121575,0.3844457,0.03323926,0.1514128,0.01320352,0.2268613,0.03436702,0.01546826,0.3644579
6.131695e-05,0.009721888,0.121667,0.08506837,0.04449181,0.0001669245,0.2005477,0,0.104822,0.6981411,0,0.1608035,0.1426983,0,0.008672715,0.3901372,0.0545239,0.08696027,0.09408975,0.1352564,0.4162843,0.1574839,0.1095225,0.09315872,0.01237812,0.03208717,0.4126959,0.05332388,0.1856435,0.009771895,0.02958742,0.04292429,0.02220244,0.003897917,0.08743124,0,7.522572e-06,0.05752666,0,0.1114011,0.0001129856,0.4137533,0.1366077,0.1216834,0.698828,0.03312002,0.1580718,0.0128415,0.2319503,0.03795825,0,0.4162828
5.642821e-05,0.00787128,0.1324467,0.09118184,0.04520836,0.0001536199,0.2005633,0,0.1023524,0.8059583,0,0.1637584,0.138991,0,0.008335885,0.3698117,0.06530239,0.08842857,0.09756508,0.1351432,0.4710695,0.1294608,0.112552,0.09526173,0.003077774,0.0319112,0.4463988,0.05340576,0.1916602,0.007934524,0.03277731,0.04197516,0.02139149,0.003587367,0.09357755,0,1.012331e-05,0.05822657,0,0.1209297,0.0001046961,0.447258,0.141632,0.1254526,0.8062425,0.03298621,0.1300591,0.01252514,0.2343414,0.03939469,0,0.4708149
5.193011e-05,0.006668156,0.1178156,0.09093087,0.04582661,0.0001413764,0.1658786,0,0.09945429,0.8377488,0,0.1479352,0.1274829,0,0.00811736,0.3186038,0.0684036,0.08825782,0.0989331,0.1350534,0.4958571,0.1126821,0.1133541,0.09619845,0,0.03221845,0.4576927,0.05317951,0.1706661,0.006735577,0.03409506,0.04181609,0.02075451,0.003301528,0.09386414,0,1.932108e-05,0.05830019,0,0.1322397,9.673508e-05,0.4583482,0.1445284,0.1234776,0.8378463,0.03336501,0.1132957,0.01236955,0.2422187,0.03516249,0.00817521,0.495597
4.779104e-05,0.005828537,0.1149898,0.07993779,0.04601888,0.0001301093,0.1503559,0,0.09685188,0.7741155,0,0.1199623,0.1142763,0,0.007917638,0.3093539,0.08260224,0.08517025,0.09751022,0.1325731,0.5068602,0.1000476,0.1059395,0.09572072,0,0.03252173,0.4642046,0.05288358,0.1604359,0.005895519,0.03461811,0.04164559,0.02019807,0.003038446,0.08395393,0,1.919273e-05,0.05800168,0,0.1429211,8.923077e-05,0.4647712,0.1461447,0.1135389,0.7737163,0.03373282,0.100661,0.01220095,0.2453263,0.03127918,0.01973794,0.5065688
4.398213e-05,0.005199075,0.1136536,0.07554147,0.04614192,0.0001197403,0.1416533,0,0.09626152,0.503452,0,0.1094018,0.1104686,0,0.007692001,0.350839,0.09145565,0.08399577,0.09693234,0.1306123,0.4788336,0.1173735,0.1024157,0.09507816,0,0.03283972,0.4553331,0.05269622,0.1512724,0.00526336,0.03528402,0.04146525,0.01973472,0.002796319,0.08035199,0,1.839653e-05,0.05772424,0,0.1435276,8.222936e-05,0.4554432,0.1494491,0.1029528,0.5032653,0.03413696,0.1180635,0.01197713,0.2467836,0.02965604,0.02046318,0.4785258
