Date,Task,Time Started,Time Ended
mouthLowerDown_R,mouthDimple_L,mouthDimple_R,mouthSmile_L,eyeLookDown_L,jawRight,mouthPress_L,noseSneer_L,mouthSmile_R,mouthLowerDown_L,mouthPress_R,eyeBlink_L,mouthRight,eyeLookOut_L,browOuterUp_R,browDown_L,eyeBlink_R,jawOpen,eyeLookIn_R,eyeSquint_L,mouthFrown_R,mouthLeft,jawLeft,mouthRollUpper,browInnerUp,mouthPucker,eyeWide_L,mouthStretch_L,tongueOut,browOuterUp_L,mouthShrugLower,mouthStretch_R,eyeLookDown_R,eyeLookOut_R,eyeLookIn_L,mouthShrugUpper,jawForward,eyeWide_R,mouthUpperUp_R,cheekPuff,noseSneer_R,browDown_R,mouthUpperUp_L,eyeLookUp_L,mouthRollLower,cheekSquint_L,cheekSquint_R,mouthFrown_L,mouthFunnel,eyeSquint_R,mouthClose,eyeLookUp_R
,0.1517763,0.0447157,0.04768573,0.146747,0.2256062,0.03240905,0.04661134,0.1892298,0.14499,0.1539024,0.05189634,0.06546707,0,0,0,0.4944068,0.07052267,0.02264403,0,0.2046138,0,0.01646715,0,0.02553627,0.03619785,0.1835489,0,0.1202387,1.442864e-06,0,0.2528828,0.1184155,0.227507,0.1283727,0.2486027,0.4321165,0.03168276,0,0.2169055,0.01730173,0.1808449,0.4943558,0.209549,0,0.02100932,0.0840045,0.08671498,0,0.1617415,0.2042552,0.008095819,0
,0.1059935,0.0318229,0.03967183,0.1865854,0.2459424,0.05559724,0.03454933,0.1462997,0.213337,0.1081794,0.03660857,0.1672709,0.02341028,0,0,0.4256986,0.1684642,0.01842153,0.04834574,0.1908489,0,0.00233948,0,0.02303475,0.031142,0.2260712,0,0.0880556,1.076605e-05,0,0.2065861,0.09478972,0.2457943,0,0.07481474,0.311568,0.0256575,0,0.1331608,0.01515741,0.1410888,0.4257776,0.1238836,0,0.01807205,0.09163725,0.1060373,0,0.1477549,0.1905999,0.01636891,0
,0.1011623,0.03268892,0.04072779,0.1816716,0.2410385,0.05129399,0.03493701,0.1458523,0.203303,0.1048669,0.03708699,0.1700563,0.01584317,0,0,0.423325,0.1708099,0.01659673,0.04991055,0.1879304,0,0.003226373,0,0.02256511,0.03127695,0.252936,0,0.08719037,1.479681e-05,0,0.2091121,0.09353619,0.2407388,0,0.07439278,0.3034155,0.02435378,0,0.1298784,0.01635122,0.1409774,0.4233806,0.1206346,0,0.01810563,0.09235955,0.1063678,0,0.1448999,0.1877566,0.01585924,0
,0.1054296,0.03328571,0.04118421,0.1722566,0.2323566,0.0482528,0.03485617,0.1440599,0.1800841,0.1107393,0.03705707,0.1737516,0.01219499,0,0,0.4115632,0.1740809,0.01559745,0.05132387,0.1852911,0,0.004753083,0,0.02226789,0.03164544,0.2550559,0,0.08831821,1.472115e-05,0,0.1917781,0.093274,0.2318878,0,0.0739001,0.2982163,0.02345745,0,0.1216439,0.01706629,0.1390951,0.4115442,0.1155312,0,0.01816741,0.09260528,0.104403,0,0.1434719,0.1851743,0.01545979,0
,0.1370692,0.03370691,0.04125805,0.1680132,0.2225837,0.04682722,0.03455388,0.1433021,0.1665411,0.1429692,0.03677609,0.1823201,0.01007944,0,0,0.4082619,0.1824106,0.01517705,0.04814036,0.1847074,0,0.005950207,0,0.0222192,0.03213572,0.2368924,0,0.09189969,1.133128e-05,0,0.1675262,0.09370854,0.2219864,0,0.07786779,0.3399168,0.02293878,0,0.1178261,0.01742083,0.1382602,0.4082186,0.1132446,0,0.01833172,0.09296797,0.1036111,0,0.1429096,0.1846159,0.01527927,0
,0.1641183,0.0337671,0.04087234,0.1662026,0.2115713,0.04602528,0.03376938,0.1430821,0.1610623,0.1724521,0.03592729,0.1843893,0.008710646,0,0,0.4067058,0.1843823,0.01512826,0.04952101,0.1845135,0,0.007886739,0,0.02222238,0.03274018,0.1819663,0,0.09654245,9.08842e-06,0,0.1163478,0.09522824,0.210805,0,0.07716314,0.3740857,0.02267727,0,0.116218,0.01738924,0.137851,0.406646,0.1123463,0,0.0183155,0.09379134,0.1032879,0,0.1426486,0.1844374,0.01516329,0
,0.1840619,0.03369398,0.04032143,0.1655926,0.2012195,0.04561201,0.03276986,0.1431228,0.1583496,0.1913565,0.03468025,0.1852103,0.00771377,0,0,0.4067726,0.1851558,0.01538423,0.04499174,0.1854647,0,0.008940015,0,0.02231622,0.033292,0.1629724,0,0.1005482,4.759864e-06,0,0.1007782,0.09807508,0.2003739,0,0.08261687,0.4026656,0.02267529,0,0.1158398,0.01714133,0.1376431,0.4066752,0.11288,0,0.01826037,0.0949143,0.1032335,0,0.1424292,0.1854071,0.01512212,0
,0.2004165,0.03346078,0.03935998,0.1650314,0.1972155,0.04539291,0.03149516,0.1429974,0.1557036,0.2088016,0.03332419,0.1740556,0.006937021,0,0,0.4172524,0.1740622,0.01589955,0.04313416,0.1850892,0,0.01093349,0,0.02239037,0.03351768,0.1532594,0,0.1039785,4.237106e-06,0,0.09293916,0.1008099,0.1963416,0,0.08484317,0.4297369,0.02284486,0,0.1179979,0.01677301,0.1372088,0.417093,0.1168329,0,0.01814116,0.09546033,0.1029001,0,0.142576,0.1850451,0.01519059,0
,0.2179004,0.03319466,0.03860971,0.1634009,0.1891589,0.04519381,0.0305943,0.142774,0.1517775,0.2273169,0.03238866,0.1639855,0.006297473,0,0,0.4350811,0.1639714,0.01651505,0.04719211,0.1839916,0,0.01323447,0,0.02246072,0.03348079,0.130155,0,0.105508,3.379673e-06,0,0.08862811,0.1019515,0.1882429,0,0.08136552,0.4408653,0.02307684,0,0.1264633,0.01627933,0.1366653,0.4348737,0.1266909,0,0.01791251,0.09587562,0.1025097,0,0.1422975,0.1839603,0.01524819,0
,0.2298316,0.03293438,0.03792303,0.1505556,0.199155,0.04512726,0.02993183,0.1422896,0.1430971,0.2396102,0.03171086,0.1605578,0.005749197,0,0,0.4716902,0.1605404,0.01740862,0.04487918,0.1819847,0,0.01564559,0,0.02255844,0.03320773,0.1371383,0,0.1061151,2.996256e-06,0,0.08711188,0.1023048,0.1982634,0,0.08424471,0.4469604,0.02321522,0,0.1303188,0.0158412,0.1357066,0.4714838,0.1307762,0,0.01766397,0.09575702,0.1008349,0,0.1422975,0.1819675,0.01539206,0
